frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,27,134,-1,363.001,-2766.439,-42.168,1093662.696,4351727.647,18.450751196,18.346169209,77.401680669,-2527.742,3949.22,2590.59,987.30,647.65,5.733,4.083,-9.935,0.994211018,0.052873872,0.031120904,-0.088206284,3394505.753,3391978.011,716308506,556
ROVER,27,138,-1,362.970,-2766.416,-42.149,1093662.665,4351727.670,18.450750669,18.346169209,77.401681084,-2527.761,3949.34,2590.68,987.34,647.67,5.813,3.902,-9.737,0.994386971,0.053379443,0.029581243,-0.086429901,3394505.753,3391977.992,716308521,556
ROVER,27,144,-1,363.864,-2766.520,-42.204,1093663.559,4351727.566,18.450765752,18.346169209,77.401679226,-2527.706,3945.76,2590.26,986.44,647.57,6.457,1.257,-8.270,0.995709660,0.056957524,0.006863089,-0.072602145,3394505.753,3391978.047,716308579,556
ROVER,27,150,-1,364.072,-2766.536,-42.216,1093663.767,4351727.550,18.450769266,18.346169209,77.401678936,-2527.694,3944.93,2590.20,986.23,647.55,6.209,0.894,-8.144,0.995951530,0.054574028,0.003922126,-0.071322430,3394505.753,3391978.058,716308619,556
ROVER,27,168,-1,364.088,-2766.411,-42.182,1093663.783,4351727.675,18.450769525,18.346169209,77.401681173,-2527.728,3944.87,2590.70,986.22,647.68,-1.891,6.566,-94.633,0.677441000,0.030925265,0.050930683,-0.733159900,3394505.753,3391978.025,716308753,556
ROVER,27,174,-1,363.785,-2770.131,-42.598,1093663.480,4351723.955,18.450764422,18.346169209,77.401614996,-2527.312,3946.08,2575.82,986.52,643.95,-2.992,7.841,-94.225,0.680043221,0.032352705,0.065597109,-0.729514599,3394505.753,3391978.441,716308902,556
ROVER,27,180,-1,363.720,-2771.047,-42.725,1093663.415,4351723.039,18.450763322,18.346169209,77.401598702,-2527.185,3946.34,2572.15,986.58,643.04,-4.207,8.673,-93.632,0.683950250,0.030055163,0.078398430,-0.724680960,3394505.752,3391978.567,716308982,556
ROVER,27,186,-1,363.675,-2771.584,-42.783,1093663.370,4351722.502,18.450762563,18.346169209,77.401589155,-2527.127,3946.52,2570.01,986.63,642.50,-2.974,7.394,-94.121,0.680807114,0.029547097,0.062869743,-0.729161203,3394505.752,3391978.625,716309031,556
ROVER,27,192,-1,363.267,-2775.439,-43.137,1093662.962,4351718.647,18.450755684,18.346169209,77.401520588,-2526.773,3948.15,2554.59,987.04,638.65,-0.639,0.766,-93.787,0.683359600,0.001069050,0.008643557,-0.730030000,3394505.752,3391978.979,716309340,556
ROVER,27,198,-1,363.267,-2775.439,-43.137,1093662.962,4351718.647,18.450755685,18.346169209,77.401520589,-2526.773,3948.15,2554.59,987.04,638.65,-0.822,1.221,-90.821,0.702021800,0.002551673,0.012587557,-0.712039650,3394505.752,3391978.979,716309394,556
ROVER,27,202,-1,363.260,-2775.379,-43.125,1093662.955,4351718.707,18.450755562,18.346169209,77.401521649,-2526.785,3948.18,2554.83,987.04,638.71,-0.924,1.438,-90.267,0.705449998,0.003202551,0.014567556,-0.708602726,3394505.752,3391978.967,716309409,556
ROVER,27,208,-1,363.243,-2776.362,-43.178,1093662.938,4351717.724,18.450755273,18.346169209,77.401504174,-2526.732,3948.25,2550.90,987.06,637.72,-0.576,2.915,-90.956,0.701040200,0.014611596,0.021416396,-0.712650300,3394505.752,3391979.019,716309468,556
ROVER,27,214,-1,363.233,-2776.712,-43.208,1093662.928,4351717.374,18.450755098,18.346169209,77.401497952,-2526.702,3948.29,2549.50,987.07,637.37,0.232,2.238,-91.281,0.698998200,0.015378224,0.012204663,-0.714853900,3394505.752,3391979.050,716309512,556
ROVER,27,226,-1,363.234,-2776.711,-43.199,1093662.929,4351717.375,18.450755123,18.346169209,77.401497964,-2526.711,3948.28,2549.50,987.07,637.37,-2.210,2.337,-149.981,0.259253174,0.014698653,0.023901371,-0.965401709,3394505.752,3391979.041,716309629,556
ROVER,27,230,-1,363.223,-2776.711,-43.201,1093662.918,4351717.375,18.450754938,18.346169209,77.401497960,-2526.709,3948.33,2549.50,987.08,637.37,-2.171,2.264,-150.042,0.258727998,0.014187691,0.023404336,-0.965562403,3394505.752,3391979.042,716309645,556
ROVER,27,236,-1,363.223,-2776.711,-43.202,1093662.918,4351717.375,18.450754940,18.346169209,77.401497963,-2526.708,3948.33,2549.50,987.08,637.37,-2.260,0.293,-179.789,0.001887381,0.002523555,0.019726504,-0.999800440,3394505.752,3391979.044,716389580,557
